P -11.9394, 188.9421, 180.4315,  100, 0, 255,  3,  Apprentice's_Accoutrements
P -174.5079, -46.3507, 7.4056,  0, 127, 127,  3,  Ascendant's_Afterthoughts
P -39.0532, 7.0327, -65.2735,  100, 0, 255,  3,  Articles_of_Animation(HA)
P 39.1057, -41.9581, 38.2972,  240, 240, 240,  3,  Actualized_Accounts(Drop_from_random)
P 58.3309, 180.3809, 28.3688,  0, 127, 127,  3,  X
P 127.7110, 204.4921, 28.5521,  100, 0, 255,  3,  X
P -23.0189, -60.9538, 87.1916,  100, 0, 255,  3,  X
P -6.7242, -61.6145, 87.9937,  100, 0, 255,  3,  X
P -135.1882, -118.1858, 120.3013,  100, 0, 255,  3,  X
P -40.9700, 165.7042, 180.2176,  100, 0, 255,  3,  X
P -60.7358, 149.1088, 180.4146,  100, 0, 255,  3,  X
P 27.0447, -201.3649, 87.9036,  100, 0, 255,  3,  X
P 90.9855, -222.3274, -1.8087,  0, 127, 127,  3,  X
P 29.8869, -223.0137, 0.4668,  0, 127, 127,  3,  X
P 139.0691, -242.7700, 0.4748,  0, 127, 127,  3,  X
P 41.0480, -282.5032, -32.7695,  0, 127, 127,  3,  X
P 208.0002, -296.8168, -31.5629,  100, 0, 255,  3,  X
P 299.8928, -280.3494, -31.5816,  100, 0, 255,  3,  X
P -171.4749, -16.9931, 8.6914,  100, 0, 255,  3,  X
P -205.1403, -13.7830, 10.8289,  0, 127, 127,  3,  X
P -225.6388, -45.2751, 9.7178,  0, 127, 127,  3,  X
P -218.6375, -49.0477, 9.7178,  0, 127, 127,  3,  X
P 44.4968, 6.6857, -65.2477,  0, 127, 127,  3,  X
P 2.4208, -2.6392, -66.2328,  0, 127, 127,  3,  X
P -39.1923, -39.5762, -65.4533,  100, 0, 255,  3,  X
P 276.2530, -231.0852, -32.7824,  0, 127, 127,  3,  X
P 41.5520, -39.1364, -65.4462,  0, 127, 127,  3,  X
P 34.7726, 177.3333, 28.2180,  0, 127, 127,  3,  X
P 116.1599, 225.4880, 29.6127,  0, 127, 127,  3,  X
P 127.9269, 224.7371, 28.4348,  0, 127, 127,  3,  X
P -3.6348, 21.5614, 86.1149,  100, 0, 255,  3,  X
P -25.1862, 20.2851, 86.0806,  100, 0, 255,  3,  X
P 62.8959, -235.5474, 87.3799,  100, 0, 255,  3,  X
P 25.3137, -216.0886, 90.7949,  100, 0, 255,  3,  X
P -314.6029, -150.8230, 112.3412,  100, 0, 255,  3,  X
P -403.2806, 133.6832, 112.1720,  100, 0, 255,  3,  X
P -40.0416, 131.5604, 180.2754,  100, 0, 255,  3,  X
P -5.8063, -76.9525, 176.9661,  100, 0, 255,  3,  X
P 22.8938, -58.2940, 180.4974,  100, 0, 255,  3,  X
P -4.3860, -95.5856, 176.9311,  100, 0, 255,  3,  X
P 189.6264, -20.5479, 180.4304,  100, 0, 255,  3,  X
P 168.1328, 57.0827, 177.2045,  100, 0, 255,  3,  X
P 44.1425, -228.9200, -32.7688,  0, 127, 127,  3,  X
P 280.3120, -276.4873, -32.7800,  0, 127, 127,  3,  X
P 243.0450, -116.7336, -24.7005,  100, 0, 255,  3,  X
P 253.6663, -117.4293, -26.7031,  0, 127, 127,  3,  X
P -14.6022, -95.4047, 176.8974,  100, 0, 255,  3,  X
