P -1761.4047, 71.2000, -273.8431,  127, 0, 255,  3,  X
P -280.5873, -1263.0798, -191.0596,  0, 127, 127,  3,  X
P -3.5744, -396.5673, -247.6425,  0, 127, 127,  3,  X
P -402.9180, 82.7394, -295.7364,  116, 0, 255,  3,  X
P -380.7090, 325.0253, -276.8132,  127, 0, 255,  3,  X
P -668.6010, 622.7762, -276.2666,  0, 127, 127,  3,  X
P -702.5688, 289.3500, -277.1711,  127, 0, 255,  3,  X
P 321.3495, -1667.8751, -198.2248,  0, 127, 127,  3,  X
P 1007.5812, -1907.2035, -200.7759,  0, 127, 127,  3,  X
P 988.5559, -1929.8077, -179.2695,  127, 0, 255,  3,  X
P 914.0488, -2237.1555, -198.2738,  0, 127, 127,  3,  X
P 872.4195, -2237.3682, -179.3172,  127, 0, 255,  3,  X
P 1339.5869, -1834.1211, -180.5735,  127, 64, 255,  3,  X
P 805.5123, -1940.7014, -173.7457,  0, 127, 127,  3,  X
P -955.6799, 509.4004, -298.7752,  0, 127, 127,  3,  X
P -1034.0483, -135.3947, -296.3177,  127, 0, 255,  3,  X
P -1551.7468, 471.0234, -298.7890,  127, 0, 255,  3,  X
P -1167.3107, -588.3610, -201.0336,  127, 0, 255,  3,  X
P -350.4698, 302.4869, -276.5690,  0, 127, 127,  3,  X
P -650.1021, 566.6265, -277.1636,  127, 0, 255,  3,  X
P -611.0370, 373.7499, -298.6411,  0, 127, 127,  3,  X
P -598.6208, 432.7431, -298.6512,  0, 127, 127,  3,  X
P -620.4596, 400.9607, -256.9885,  0, 127, 127,  3,  X
P 526.9476, -2797.4663, -152.7771,  0, 127, 127,  3,  X
P 487.8802, -2830.4014, -152.7509,  0, 127, 127,  3,  X
P 434.7512, -2906.6292, -133.0313,  127, 0, 255,  3,  X
P 229.7613, -2935.9285, -152.4629,  127, 0, 255,  3,  X
P 214.9682, -2937.6589, -132.2129,  0, 127, 127,  3,  X
P -8.4835, -2860.4817, -132.9959,  127, 0, 255,  3,  X
